timestamp,avail (mebibytes),anomaly%,annotations
1755920572000,-,-,-
1755920573000,-,-,-
1755920574000,-,-,-
1755920575000,770.1401,-,-
1755920576000,769.6953,-,-
1755920577000,768.3164,-,-
1755920578000,769.2812,-,-
1755920579000,769.0703,-,-
1755920580000,768.9141,-,-
1755920581000,758,-,-
1755920582000,759.3398,-,-
1755920583000,761.5234,-,-
1755920584000,761.0781,-,-
1755920585000,758.3516,-,-
1755920586000,760.5781,-,-
1755920587000,760.5977,-,-
1755920588000,760.8281,-,-
1755920589000,760.4844,-,-
1755920590000,759.5195,-,-
1755920591000,762.2109,-,-
1755920592000,760.7344,-,-
1755920593000,761.6406,-,-
1755920594000,761.3477,-,-
1755920595000,760.9141,-,-
1755920596000,759.1484,-,-
1755920597000,759.3555,-,-
1755920598000,759.5234,-,-
1755920599000,759.8203,-,-
1755920600000,759.6523,-,-
1755920601000,759.9727,-,-
1755920602000,835.2461,-,-
1755920603000,837.8867,-,-
1755920604000,840.2031,-,-
1755920605000,841.1992,-,-
1755920606000,839.6406,-,-
1755920607000,836.0273,-,-
1755920608000,-,-,-
1755920609000,-,-,-
1755920610000,-,-,-
1755920611000,835.7166,-,-
1755920612000,835.4023,-,-
1755920613000,834.9922,-,-
1755920614000,938.3359,-,-
1755920615000,938.7461,-,-
1755920616000,937.8477,-,-
1755920617000,938.1484,-,-
1755920618000,938.3203,-,-
1755920619000,937.5352,-,-
1755920620000,934.7422,-,-
1755920621000,934.0938,-,-
1755920622000,932.6875,-,-
1755920623000,932.8125,-,-
1755920624000,932.8594,-,-
1755920625000,934.0312,-,-
1755920626000,933.9883,-,-
1755920627000,935.0117,-,-
1755920628000,932.2266,-,-
1755920629000,935.3008,-,-
1755920630000,934.5078,-,-
1755920631000,1226.6602,-,-
1755920632000,1227.2539,-,-
1755920633000,1211.4219,-,-
1755920634000,967.0938,-,-
1755920635000,834.793,-,-
1755920636000,807.4609,-,-
1755920637000,804.0859,-,-
1755920638000,791.3789,-,-
1755920639000,778.6836,-,-
1755920640000,774.8672,-,-
1755920641000,774.7109,-,-
1755920642000,800.0078,-,-
1755920643000,-,-,-
1755920644000,-,-,-
1755920645000,-,-,-
1755920646000,812.0593,-,-
1755920647000,824.2734,-,-
1755920648000,818.25,-,-
1755920649000,815.6172,-,-
1755920650000,812.1797,-,-
1755920651000,811.6172,-,-
1755920652000,811.5703,-,-
1755920653000,809.2188,-,-
1755920654000,793.7852,-,-
1755920655000,784.3242,-,-
1755920656000,784.8086,-,-
1755920657000,784.1562,-,-
1755920658000,782.9414,-,-
1755920659000,781.9648,-,-
1755920660000,777.7812,-,-
1755920661000,775.1797,-,-
1755920662000,773.4297,-,-
1755920663000,770.7383,-,-
1755920664000,766.0742,-,-
1755920665000,766.1836,-,-
1755920666000,764.582,-,-
1755920667000,766.6836,-,-
1755920668000,768.2148,-,-
1755920669000,767.8711,-,-
1755920670000,764.6289,-,-
1755920671000,763.3828,-,-
1755920672000,761.4375,-,-
1755920673000,760.0625,-,-
1755920674000,757.918,-,-
1755920675000,755.6289,-,-
1755920676000,756.6328,-,-
1755920677000,752.0391,-,-
1755920678000,750.4023,-,-
1755920679000,-,-,-
1755920680000,-,-,-
1755920681000,-,-,-
1755920682000,749.8789,-,-
1755920683000,749.3477,-,-
1755920684000,749.1055,-,-
1755920685000,749.6133,-,-
1755920686000,749.9023,-,-
1755920687000,750.9414,-,-
1755920688000,750.2773,-,-
1755920689000,750.6055,-,-
1755920690000,750.2227,-,-
1755920691000,750.9062,-,-
1755920692000,749.9922,-,-
1755920693000,750.082,-,-
1755920694000,749.6641,-,-
1755920695000,749.5977,-,-
1755920696000,749.1758,-,-
1755920697000,749.9375,-,-
1755920698000,858.3438,-,-
1755920699000,861.6445,-,-
1755920700000,850.418,-,-
1755920701000,852.2852,-,-
1755920702000,846.8516,-,-
1755920703000,846.6992,-,-
1755920704000,847.5078,-,-
1755920705000,845.0898,-,-
1755920706000,880.8086,-,-
1755920707000,885.7578,-,-
1755920708000,884.1406,-,-
1755920709000,926.6641,-,-
1755920710000,923.4062,-,-
1755920711000,923.957,-,-
1755920712000,923.2188,-,-
1755920713000,920.2617,-,-
1755920714000,918.3242,-,-
1755920715000,-,-,-
1755920716000,-,-,-
1755920717000,-,-,-
1755920718000,916.9043,-,-
1755920719000,915.4648,-,-
1755920720000,914.0508,-,-
1755920721000,912.043,-,-
1755920722000,913.2031,-,-
1755920723000,914.5117,-,-
1755920724000,913.6016,-,-
1755920725000,913.5938,-,-
1755920726000,912.4727,-,-
1755920727000,912.5117,-,-
1755920728000,908.8398,-,-
1755920729000,908.8242,-,-
1755920730000,1198.793,-,-
1755920731000,1198.8242,-,-
1755920732000,1072.7266,-,-
1755920733000,799.3633,-,-
1755920734000,767.8398,-,-
1755920735000,761.543,-,-
1755920736000,757.4258,-,-
1755920737000,746.9648,-,-
1755920738000,739.3242,-,-
1755920739000,735.8867,-,-
1755920740000,733.0234,-,-
1755920741000,730.6211,-,-
