timestamp,free (mebibytes),used (mebibytes),cached (mebibytes),buffers (mebibytes),anomaly%,annotations
1756262266000,1058.2168,5956.8555,653.86135,9.003906,-,-
1756262268000,1059.2051,5955.5545,654.16795,9.0097655,-,-
1756262270000,1108.40235,5906.416,654.1016,9.017578,-,-
1756262272000,1153.3945,5861.166,654.3574,9.019531,-,-
1756262274000,1155,5860.223,653.68355,9.03125,-,-
1756262276000,1155.28125,5860.574,653.0469,9.035156,-,-
1756262278000,1196.166,5820.4085,652.3164,9.046875,-,-
1756262280000,1194.4785,5822.7345,651.6738,9.050781,-,-
1756262282000,1194.6328,5823.2125,651.03515,9.0566405,-,-
1756262284000,1190.98435,5826.973,650.91605,9.064453,-,-
1756262286000,1190.3008,5827.635,650.93555,9.066406,-,-
1756262288000,1192.85745,5825.07,650.9375,9.0722655,-,-
1756262290000,1191.3418,5826.5645,650.9531,9.078125,-,-
1756262292000,1193.6406,5824.258,650.9609,9.078125,-,-
1756262294000,1193.71095,5824.1755,650.96875,9.0820315,-,-
1756262296000,1191.5156,5826.3515,650.9844,9.085938,-,-
1756262298000,1189.04295,5828.82,650.9883,9.085938,-,-
1756262300000,1186.6641,5831.18,651,9.09375,-,-
1756262302000,1186.07425,5831.7635,651.00585,9.09375,-,-
1756262304000,1186.82615,5831.002,651.0156,9.09375,-,-
1756262306000,1187.832,5829.969,651.03515,9.101562,-,-
1756262308000,1189.041,5828.7445,651.0508,9.101562,-,-
1756262310000,1188.02145,5829.744,651.0625,9.109375,-,-
1756262312000,1185.85745,5831.9005,651.0703,9.109375,-,-
1756262314000,1183.16795,5834.5745,651.0859,9.109375,-,-
1756262316000,1180.7832,5836.9415,651.0918,9.121094,-,-
1756262318000,1245.2461,5772.463,651.10355,9.125,-,-
1756262320000,1492.30275,5525.412,651.0977,9.125,-,-
1756262322000,1492.0723,5525.6425,651.0977,9.125,-,-
1756262324000,1489.9219,5523.6505,655.2324,9.132812,-,-
1756262326000,1490.5684,5522.9785,655.2578,9.132812,-,-
1756262328000,1488.4785,5525.0685,655.2578,9.132812,-,-
1756262330000,1490.1758,5523.3655,655.25585,9.140625,-,-
1756262332000,1490.91795,5522.6055,655.2734,9.140625,-,-
1756262334000,1490.84375,5522.666,655.2832,9.1445315,-,-
1756262336000,1490.2578,5523.238,655.293,9.148438,-,-
1756262338000,1491.8652,5521.6135,655.30665,9.152344,-,-
1756262340000,1491.8594,5521.5975,655.3242,9.15625,-,-
1756262342000,1478.74415,5520.3455,669.5254,9.3222655,-,-
1756262344000,1476.9922,5521.3455,670.26755,9.3320315,-,-
1756262346000,1477.13475,5521.18,670.2832,9.339844,-,-
1756262348000,1478.10545,5520.1975,670.29495,9.339844,-,-
1756262350000,1478.63675,5519.6505,670.3047,9.345703,-,-
1756262352000,1478.20115,5520.0705,670.31445,9.351562,-,-
1756262354000,1477.0801,5521.1795,670.32615,9.351562,-,-
1756262356000,1477.80855,5520.4335,670.3359,9.359375,-,-
1756262358000,1477.4707,5520.7675,670.3398,9.359375,-,-
1756262360000,1477.6797,5520.5485,670.3457,9.3632815,-,-
1756262362000,1477.35935,5520.8575,670.35355,9.367188,-,-
1756262364000,1477.50195,5520.705,670.3633,9.367188,-,-
1756262366000,1478.40625,5519.779,670.37695,9.375,-,-
1756262368000,1478.04295,5520.125,670.3945,9.375,-,-
1756262370000,1477.8242,5520.326,670.4082,9.378906,-,-
1756262372000,1476.47655,5521.654,670.42385,9.382812,-,-
1756262374000,1476.5449,5521.57,670.43555,9.3867185,-,-
1756262376000,1476.34375,5521.664,670.5391,9.390625,-,-
1756262378000,1476.62695,5521.3455,670.5742,9.390625,-,-
1756262380000,1477.02735,5520.9235,670.5879,9.398438,-,-
1756262382000,1477.80665,5520.1365,670.59575,9.398438,-,-
1756262384000,1477.9805,5519.957,670.5977,9.402344,-,-
1756262386000,1478.09965,5519.818,670.6133,9.40625,-,-
1756262388000,1476.68555,5521.221,670.625,9.40625,-,-
1756262390000,1478.53515,5519.3515,670.6367,9.414062,-,-
1756262392000,1478.8418,5519.041,670.6406,9.414062,-,-
1756262394000,1478.1875,5519.676,670.6562,9.4179685,-,-
1756262396000,1478.36135,5519.494,670.6602,9.421875,-,-
1756262398000,1477.3379,5520.5055,670.6719,9.421875,-,-
1756262400000,1477.73635,5520.09,670.68165,9.429688,-,-
1756262402000,1478.041,5519.764,670.7031,9.429688,-,-
1756262404000,1478.83205,5518.9375,670.7266,9.441406,-,-
